id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
964193447489752054,Central Apartment in Niederdorf,146155681,Jan,Kreis 1,Rathaus,47.37331935917994,8.544645263810244,Entire home/apt,120,4,0,,,1,194,0,
964284120376025471,Zurich Urban Charm: Your Perfect Home,1229459,Swissstay,Kreis 12,Hirzenbach,47.40202211851049,8.583915521827622,Entire home/apt,98,2,12,2024-05-01,1.27,80,51,12,
964525106598592821,Premium Loft PZ2,517673958,Roger Roland,Kreis 9,Altstetten,47.38624250941854,8.495201843184402,Entire home/apt,329,1,0,,,11,181,0,
965025426678599412,Beautiful central terraced attic,3955674,Nicole,Kreis 3,Sihlfeld,47.3727307,8.516182,Entire home/apt,145,38,1,2024-01-04,0.17,1,64,1,
965132414975083661,Locke Room with Balcony at Locke am Platz,533606589,Locke,Kreis 2,Enge,47.3638753,8.5324045,Entire home/apt,308,1,0,,,5,353,0,
965772161413387964,City Penthouse N°1,38669185,Amelie,Kreis 2,Enge,47.36517918410069,8.531267777266537,Private room,130,1,2,2023-11-08,0.20,4,83,2,
965777574152812653,Trendy 1 bedroom flat in the middle of town,1229459,Swissstay,Kreis 1,Rathaus,47.3717632388575,8.544626093800892,Entire home/apt,177,2,30,2024-06-24,3.24,80,47,30,
965794941111908198,Locke Studio at Locke am Platz,533606589,Locke,Kreis 2,Enge,47.3638753,8.5324045,Entire home/apt,313,1,1,2024-04-26,0.46,5,360,1,
965801840519795924,Cozy Studio with Balcony in the City (BE-21),25291258,Delta,Kreis 3,Sihlfeld,47.37554,8.51539,Entire home/apt,119,1,13,2024-06-23,1.45,48,252,13,
965832114596870590,Locke Suite with Balcony at Locke am Platz,533606589,Locke,Kreis 2,Enge,47.3638753,8.5324045,Entire home/apt,373,1,0,,,5,355,0,
965873553938384244,New: Seefeld Apartment by the lake,116378560,Eloïse,Kreis 8,Seefeld,47.36097949429022,8.550914375016946,Entire home/apt,300,3,0,,,1,34,0,
966032357667501232,Трехкомнатная квартира до 8 гостей,507183844,Sonya,Kreis 9,Altstetten,47.39826520088918,8.48140432005542,Entire home/apt,300,1,46,2024-06-02,4.71,1,35,46,
966374660589024718,2BR Central Flat + Balcony,3528377,Marc,Kreis 4,Hard,47.38510705395595,8.507011604171273,Entire home/apt,217,1,36,2024-06-09,3.58,12,75,36,
967300257433800192,Da Narcisa,187158225,Narcisa,Kreis 9,Altstetten,47.3849207,8.4971809,Private room,74,2,61,2024-06-28,6.40,1,174,61,
967336471861433651,"Zentral: 3P, minimalistisch",25454166,Stefan,Kreis 4,Hard,47.38051050949702,8.508024911427514,Entire home/apt,,2,1,2023-09-22,0.11,1,0,1,
968140127355797941,1.5 studio near Oerlikon HB,79709626,Jonathan,Kreis 6,Unterstrass,47.40232270000001,8.5325168,Entire home/apt,,20,1,2024-06-27,1,1,3,1,
968217076029502597,Wohnung in Zürich Kreis 3,115622912,Mike,Kreis 3,Sihlfeld,47.3704162,8.510548499999999,Entire home/apt,70,14,1,2024-03-02,0.25,1,88,1,
968602908824777357,Rooftop Studio with Terrace at Locke am Platz,533606589,Locke,Kreis 2,Enge,47.3638753,8.5324045,Entire home/apt,481,1,0,,,5,360,0,
968692154385492406,Interconnecting Studio at Locke am Platz,533606589,Locke,Kreis 2,Enge,47.3638753,8.5324045,Entire home/apt,613,1,0,,,5,305,0,
968779970086000401,Beautiful & cozy apartment in the center,31899549,Cindy,Kreis 8,Seefeld,47.35460911379471,8.555146300246975,Entire home/apt,100,7,0,,,1,216,0,
970706346582006969,City Penthouse N°2,38669185,Amelie,Kreis 2,Enge,47.3653843643179,8.529057253056653,Private room,115,1,1,2023-09-14,0.10,4,85,1,
970719759680234618,City Penthouse N°3,38669185,Amelie,Kreis 2,Enge,47.366981566970686,8.530909041901323,Private room,105,1,4,2023-11-05,0.40,4,172,4,
970725830571687661,City Penthouse (entire),38669185,Amelie,Kreis 2,Enge,47.367121873202635,8.530379654894174,Entire home/apt,374,1,40,2024-06-21,5.48,4,178,40,
970794183018150821,Gemütliche Stadtwohnung,2553493,Johannes,Kreis 3,Sihlfeld,47.37322194038846,8.514758633217388,Entire home/apt,,5,6,2024-05-26,0.63,1,2,6,
970822071451237681,Gesamte Wohnung in Zürich,4938402,Sarah,Kreis 2,Wollishofen,47.3405247,8.5186077,Entire home/apt,100,3,1,2024-01-01,0.17,1,10,1,
970914111501499095,"Blueground | Wiedikon, storage & w/d, nr transport",434204093,Blueground,Kreis 3,Friesenberg,47.36207,8.50419,Entire home/apt,,30,1,2024-01-03,0.17,132,0,1,
971044998969142150,Unique apartment in the heart of Zurich,478625225,Alan,Kreis 5,Gewerbeschule,47.38260606908868,8.528763021872638,Entire home/apt,210,3,0,,,1,177,0,
971439457301333572,Central apartment near the lake,409043328,Maxim,Kreis 2,Wollishofen,47.345852356544064,8.533235863815696,Entire home/apt,150,5,2,2024-06-10,0.34,1,259,2,
971594002365326792,Central Appartment Zurich,535127783,Youssef,Kreis 4,Langstrasse,47.3768422471754,8.526675158965116,Entire home/apt,100,2,4,2024-01-02,0.42,1,180,4,
972138808238792311,"Zürich-Wipkingen, Wohnung mit Balkon in Flussnähe",25305437,Nick,Kreis 10,Wipkingen,47.3949696,8.518276799999999,Entire home/apt,110,3,0,,,1,39,0,
